DateTime,SNR,Uniformity,Contrast,Ghosting,D45,D135,Output,LaserX,LaserY,LaserZ,Operator
20160510.082539,1.777,97.434,0.8,0.0037,91.092,91.101,5.789,103.346,0,97.627,Therapist
20160511.084701,1.724,98.588,0.801,0.0141,90.98,90.989,5.882,102.539,0,99.571,Therapist
20160511.084701,1.774,98.834,0.797,0.0064,90.949,91.012,5.616,102.621,4,99.601,Therapist
20160512.082856,1.766,97.711,0.801,0.0119,91.133,91.046,5.885,102.941,0,99.306,Therapist
20160513.082609,1.832,94.819,0.793,0.0042,91.18,91.276,5.857,102.892,0,99.475,Therapist
20160516.082646,1.812,95.263,0.801,0.0049,91.101,91.356,5.734,103.31,4,99.539,Therapist
20160517.090641,1.752,96.505,0.797,0.0062,91.046,91.094,5.895,103.696,0,99.303,Therapist
20160518.092351,1.765,97.967,0.797,0.0128,91.117,91.035,5.991,102.776,0,99.055,Therapist
20160519.085225,1.727,98.084,0.796,0.0008,90.977,90.974,5.892,103.616,0,98.895,Therapist
20160524.082232,1.718,99.186,0.801,0.0224,90.967,90.94,5.852,103.788,0,97.516,Therapist
20160526.081846,1.81,96.972,0.797,0.0078,91.208,91.149,5.726,102.014,0,97.636,Therapist
20160531.084750,1.709,97.198,0.8,0.0104,90.987,91.223,5.981,104.051,0,97.473,Therapist
20160601.082735,1.749,98.192,0.788,0.0067,91.03,90.978,5.996,103.126,4,101.342,Therapist
20160602.094004,1.798,97.422,0.799,0.013,90.981,90.995,5.946,102.062,0,100.932,Therapist
20160606.080908,1.684,98.466,0.798,0.015,91.223,91.133,6.061,102.014,4,100.231,Therapist
20160607.091226,1.836,98.37,0.796,0.022,91.199,91.383,5.771,101.161,0,100.47,Therapist
20160607.125147,1.723,97.26,0.801,0.0188,90.921,91.102,5.804,100.528,0,98.659,Ax
20160616.082146,1.692,95.452,0.792,0.0014,91.203,91.213,5.999,103.171,0,101.47,DE
20160620.081750,1.776,95.83,0.795,0.0197,91.09,91.198,5.928,103.1,0,101.687,DE
20160621.075607,1.794,98.776,0.79,0.0034,91.057,91.299,6,103.27,0,101.59,DE
20160622.091101,1.701,97.457,0.798,0.0041,91.049,91.123,5.835,103.525,0,96.821,DE
20160623.081619,1.791,96.98,0.798,0.0096,91.258,91.315,5.8,104.264,0,96.414,DE
20160624.090819,1.744,98.33,0.796,0.0096,90.938,90.989,5.811,103.807,0,96.495,Therapist
20160627.091648,1.869,98.397,0.797,0.0012,91.061,91.134,5.759,104.881,4,94.403,DE
20160628.085626,2.063,96.046,0.793,0.0022,91.084,91.04,5.946,104.762,0,94.737,DE
20160629.081600,1.725,98.597,0.793,0.0153,91.131,91.255,6.059,104.013,4,96.562,RR
20160630.082953,1.843,96.398,0.794,0.0054,90.993,91.149,5.932,103.477,0,96.215,RR
20160701.081149,1.792,97.822,0.8,0.0033,91.089,91.155,5.755,104.521,0,96.275,RR
20160704.083624,1.739,96.541,0.793,0.0123,91.111,91.254,6.101,104.641,4,96.124,RR
