DateTime,SNR,Uniformity,Ghosting,Diameter,Output,Operator
20170327.125106,7.825,69.528,0.001,237.5,2.69,Physicist
20190711.135914,7.851,100,0.0016,237.5,2.69,Physicist
20200330.153310,1.945,100,0.0205,243.078,2.723,Physicist
20210709.154641,1.994,100,0.02,243.078,2.724,Physicist
20211213.110414,0.888,66.667,0.0058,331,2.653,Physicist
20211213.110414,0.888,66.667,0.0058,336.172,2.653,Physicist
20220406.124856,2.01,100,0.0301,243.078,2.723,Physicist
20220905.124523,1.953,100,0.0173,243.078,2.724,Physicist
20221216.115358,1.96,100,0.0155,237.906,2.724,Physicist
20230303.120143,1.981,100,0.0293,237.906,2.723,Physicist
20240213.150328,2.016,100,0.0272,237.906,2.722,Physicist
