DateTime,SNR,Uniformity,Ghosting,Diameter,Output,Operator
20170327.125106,41.521,99.63,0.0009,237.5,7.452,Physicist
20190711.134039,39.759,99.584,0.0007,237.5,7.452,Physicist
20200330.151551,40.449,99.885,0.0002,235.417,7.452,Physicist
20211213.110414,143.36,91.573,0.0002,239.583,7.45,Physicist
20220406.123131,37.83,99.29,0.0016,239.583,7.452,Physicist
20220629.152430,38.692,99.325,0.0009,237.5,7.452,Physicist
20220905.122809,38.064,99.561,0.0022,237.5,7.452,Physicist
20221216.120055,33.375,99.432,0.0012,237.5,7.452,Physicist
20230303.110922,28.969,99.384,0.0001,237.5,7.452,Physicist
20230919.122742,29.041,99.528,0.0005,237.5,7.452,Physicist
20240213.142832,27.644,99.403,0,237.5,7.452,Physicist
20240213.145541,2.005,100,0.0248,237.906,2.722,Physicist
