DateTime,SNR,Uniformity,Ghosting,Diameter,Output,Operator
20170330.141757,4.389,96.31,0.0146,138,12.294,Physicist
20190711.142339,4.81,95.596,0.0159,138,12.295,Physicist
20200330.154217,4.967,94.622,0.0012,138,12.306,Physicist
20211213.110414,7.371,88.762,0.0386,298.125,12.339,Physicist
20211213.110414,7.371,88.762,0.0386,299.063,12.339,Physicist
20220406.125115,4.725,93.372,0.0032,138,12.292,Physicist
20220629.161246,4.127,92.826,0.005,138,12.288,Physicist
20220905.130325,4.412,91.008,0.0257,138,12.299,Physicist
20221216.132746,5.066,93.399,0.001,138,12.308,Physicist
20230303.121845,3.013,94.09,0.0118,270.825,12.276,Physicist
20240213.152534,2.567,90.43,0.0236,268.238,12.271,Physicist
